nn,item_name,price,link
31,Подушка для сна Миллак 50x70,2820руб.,https://www.divan.ru/syktyvkar/product/podushka-dlya-sna-millak-50x70
32,Универсальные влажные салфетки AGG для тканей,670руб.,https://www.divan.ru/syktyvkar/product/universalnye-vlajnye-salfetki-agg-dlya-tkanej
33,Универсальные влажные салфетки AGG для корпусной мебели,670руб.,https://www.divan.ru/syktyvkar/product/universalnye-vlajnye-salfetki-agg-dlya-korpusnoj-mebeli
34,Ковер Line-Otto 160x230,15 810руб.,https://www.divan.ru/syktyvkar/product/kover-line-otto-160x230
35,Ковер Mineral-Blue 160x230,14 680руб.,https://www.divan.ru/syktyvkar/product/kover-mineral-blue-160x230
36,Средство по уходу за мебелью AGG для замши,780руб.,https://www.divan.ru/syktyvkar/product/sredstva-po-uhodu-za-mebelyu-agg-dlya-zamshi
37,Подлокотник Реечный Светлый,1800руб.,https://www.divan.ru/syktyvkar/product/podlokotnik-reechnyj-svetlyj
38,Полироль AGG матовый,780руб.,https://www.divan.ru/syktyvkar/product/polirol-agg-matovyj
39,Ковер Ungaro-Sultan 160x230,14 680руб.,https://www.divan.ru/syktyvkar/product/kover-ungaro-sultan-160x230
40,Ковер Ungaro-Jasmine 160x230,14 680руб.,https://www.divan.ru/syktyvkar/product/kover-ungaro-jasmine-160x230
41,Ковер Ungaro-Castle 160x230,14 680руб.,https://www.divan.ru/syktyvkar/product/kover-ungaro-castle-160x230
42,Ковер Ungaro-Fancy 140x200,11 290руб.,https://www.divan.ru/syktyvkar/product/kover-ungaro-fancy-140x200
43,Ковер Nero-Tach 200x290,25 980руб.,https://www.divan.ru/syktyvkar/product/kover-nero-tach-200x290
44,Ковер Лаунлини 160x230,11 860руб.,https://www.divan.ru/syktyvkar/product/kover-launlini-160x230
45,Ковер Alina-Savage 160x230,18 070руб.,https://www.divan.ru/syktyvkar/product/kover-alina-savage-160x230
46,Ковер Marble-Grey 120x180,12 420руб.,https://www.divan.ru/syktyvkar/product/kover-marble-grey-120x180
47,Ковер Line-Yellow 160x230,16 940руб.,https://www.divan.ru/syktyvkar/product/kover-line-yellow-160x230
48,Ковер Line-Pink 160x230,16 940руб.,https://www.divan.ru/syktyvkar/product/kover-line-pink-160x230
